Time	epsa	epsc	epsv	sigc	siga	siga*	SqJ2	I1
2.9589844	0.000282396	0.000195332	0.000673061	1.0089257	0.892878567	1.901804267	0.515503681	3.919655667
3.9589844	0.000246392	-0.000150523	-5.47E-05	1.009681	0.893677152	1.903358152	0.515964744	3.922720152
4.9589844	0.00030475	-0.000167341	-2.99E-05	1.004189	0.913289972	1.917478972	0.527288211	3.925856972
5.9589844	0.000313662	-0.000411908	-0.000510153	1.0018926	0.898794328	1.900686928	0.518919147	3.904472128
6.9589844	0.000390958	-0.000402952	-0.000414946	1.0052147	0.908755039	1.913969739	0.524669966	3.924399139
7.9589844	0.000288953	3.98E-05	0.000368513	1.0149107	0.88607063	1.90098133	0.511573117	3.93080273
8.9589844	-2.80E-05	0.000275639	0.000523289	1.025058	0.885917125	1.910975125	0.511484491	3.961091125
9.9589844	0.000414704	0.000611122	0.001636948	1.0382427	0.882203688	1.920446388	0.509340537	3.996931788
10.958984	0.000297005	0.001161604	0.002620213	1.0478348	0.88696271	1.93479751	0.512088159	4.03046711
11.958984	0.000210449	0.001480622	0.003171693	1.0558556	0.883220278	1.939075878	0.509927465	4.050787078
12.958984	0.000188402	0.001947865	0.004084132	1.0630237	0.885105231	1.948128931	0.511015743	4.074176331
13.958984	0.000434133	0.002274329	0.004982791	1.0719564	0.889877492	1.961833892	0.51377101	4.105746692
14.958984	0.000878081	0.002652337	0.006182755	1.0787027	0.890028786	1.968731486	0.513858359	4.126136886
15.958984	0.001470861	0.002932175	0.00733521	1.0798153	0.897971241	1.977786541	0.518443938	4.137417141
16.958984	0.002016076	0.002724594	0.007465263	1.0770856	0.93317527	2.01026087	0.538768993	4.16443207
17.958984	0.002654957	0.002506118	0.007667192	1.078315	0.914996229	1.993311229	0.528273319	4.149941229
18.958984	0.002931713	0.002497176	0.007926064	1.0796835	0.926196075	2.005879575	0.534739553	4.165246575
19.958984	0.003323162	0.002607497	0.008538155	1.0776416	0.921270191	1.998911791	0.531895593	4.154194991
20.958984	0.003640574	0.00262107	0.008882714	1.0826409	0.93871964	2.02136054	0.541970037	4.18664234
21.958984	0.003713874	0.002639614	0.008993102	1.0886023	0.936463819	2.025066119	0.540667638	4.202270719
22.958984	0.003733912	0.003078855	0.009891622	1.1003467	0.92305661	2.02340331	0.532926982	4.22409671
23.958984	0.003887703	0.003408907	0.010705518	1.1068294	0.923711197	2.030540597	0.533304908	4.244199397
24.958984	0.003850941	0.003868673	0.011588287	1.1127138	0.930129799	2.042843599	0.53701069	4.268271199
25.958984	0.00371578	0.004333753	0.012383286	1.1227772	0.910960215	2.033737415	0.525943125	4.279291815
