Time	siga	epsc	epsa	epsv	sigc	siga*	SqJ2	I1
1.0488281	0.46296749	0.00044116	0.000867626	0.001749946	0.4993459	0.96231339	0.267294405	1.96100519
2.0488281	0.45631772	0.000486788	0.000901822	0.001875398	0.52057767	0.97689539	0.263455158	2.01805073
3.0488281	0.44450808	0.00082309	0.001102826	0.002749006	0.54931766	0.99382574	0.25663686	2.09246106
4.0488281	0.45056456	0.001636777	0.001054016	0.00432757	0.58254629	1.03311085	0.26013357	2.19820343
5.0488281	0.45405158	0.003001258	0.000882522	0.006885037	0.61976349	1.07381507	0.262146802	2.31334205
6.0488281	0.45026317	0.004921395	0.000822934	0.010665724	0.65755773	1.1078209	0.259959562	2.42293636
7.0488281	0.45365331	0.007707918	0.001023425	0.016439261	0.70113748	1.15479079	0.261916861	2.55706575
8.0488281	0.43123701	0.011570388	0.000949444	0.024090221	0.7456218	1.17685881	0.248974804	2.66810241
9.0488281	0.43578455	0.016986229	0.001026007	0.034998465	0.79218888	1.22797343	0.251600327	2.81235119
10.048828	0.41807005	0.023995942	0.001260935	0.049252816	0.84109628	1.25916633	0.241372856	2.94135889
11.048828	0.4240014	0.032666691	0.001188767	0.066522151	0.89035171	1.31435311	0.244797322	3.09505653
12.048828	0.40166259	0.043436646	0.001176371	0.088049665	0.94365108	1.34531367	0.231900004	3.23261583
13.048828	0.38693759	0.056380663	0.001518739	0.11428007	0.99694937	1.38388696	0.223398522	3.3777857
14.048828	0.37168467	0.071582019	0.001589826	0.14475386	1.0542601	1.42594477	0.214592244	3.53446497
15.048828	0.36642048	0.088694707	0.002002446	0.17939186	1.1100721	1.47649258	0.211552963	3.69663678
16.048828	0.35323924	0.10765628	0.002488457	0.217801	1.1688623	1.52210154	0.20394277	3.85982614
17.048828	0.34199652	0.12744354	0.003899644	0.25878671	1.2230757	1.56507222	0.197451783	4.01122362
18.048828	0.33135083	0.1485707	0.006628694	0.3037701	1.2816352	1.61298603	0.191305491	4.17625643
19.048828	0.32108048	0.16947773	0.009675756	0.34863123	1.336127	1.65720748	0.185375902	4.32946148
20.048828	0.31124032	0.1899137	0.012941068	0.39276847	1.390229	1.70146932	0.179694683	4.48192732
21.048828	0.30496871	0.20960614	0.01650322	0.4357155	1.4410521	1.74602081	0.176073767	4.62812501
22.048828	0.30811837	0.22784832	0.020100208	0.47579688	1.485589	1.79370737	0.177892224	4.76488537
23.048828	0.29631057	0.24353258	0.024313664	0.51137882	1.5343567	1.83066727	0.171074987	4.89938067
24.048828	0.30719414	0.25746861	0.02813438	0.54307163	1.5727741	1.87996824	0.177358619	5.02551644
25.048828	0.29792094	0.27005997	0.032523423	0.57264334	1.6181602	1.91608114	0.172004735	5.15240154
26.048828	0.30028665	0.28101194	0.036816258	0.59884012	1.6559991	1.95628575	0.173370578	5.26828395
27.048828	0.31261948	0.29065686	0.041239351	0.62255305	1.6957592	2.00837868	0.180490941	5.39989708
28.048828	0.31853849	0.29948115	0.046035752	0.64499807	1.7337385	2.05227699	0.183908283	5.51975399
29.048828	0.32464901	0.30767873	0.051000465	0.66635793	1.7732317	2.09788071	0.187436193	5.64434411
30.048828	0.33432022	0.31566197	0.055724643	0.68704855	1.8148801	2.14920032	0.193019869	5.77896052
31.048828	0.33737794	0.32351607	0.060468361	0.70750052	1.8561654	2.19354334	0.194785244	5.90587414
32.048828	0.34136254	0.33111197	0.065266185	0.72749013	1.9000518	2.24141434	0.197085754	6.04151794
33.048828	0.35373229	0.33886522	0.070338048	0.74806851	1.9415992	2.29533149	0.204227433	6.17852989
34.048828	0.3530753	0.34632879	0.075460866	0.7681185	1.9835129	2.3365882	0.203848119	6.303614
35.048828	0.35760123	0.35373208	0.080573469	0.78803766	2.0293229	2.38692413	0.206461166	6.44556993
36.048828	0.36616746	0.36104742	0.08570043	0.80779523	2.073149	2.43931646	0.211406882	6.58561446
37.048828	0.376055	0.36795262	0.090555944	0.82646114	2.1171849	2.4932399	0.217115455	6.7276097
38.048828	0.37394518	0.37457156	0.09588784	0.84503096	2.1625748	2.53651998	0.21589735	6.86166958
39.048828	0.39204517	0.38101408	0.10098722	0.86301535	2.2082663	2.60031147	0.226347384	7.01684407
40.048828	0.38934308	0.3876439	0.1062321	0.88151991	2.2509437	2.64028678	0.224787332	7.14217418
41.048828	0.3981604	0.39420259	0.11171293	0.90011805	2.2971015	2.6952619	0.229878014	7.2894649
42.048828	0.40368995	0.40045139	0.11684331	0.91774613	2.339906	2.74359595	0.233070501	7.42340795
43.048828	0.41730714	0.40718707	0.12184794	0.93622208	2.3866882	2.80399534	0.24093239	7.57737174
44.048828	0.42915261	0.41334885	0.12689424	0.953592	2.4334242	2.86257681	0.247771375	7.72942521
45.048828	0.43084538	0.41942218	0.13193132	0.97077572	2.477216	2.90806138	0.248748696	7.86249338
46.048828	0.43053362	0.42529675	0.13659096	0.98718441	2.5224984	2.95303202	0.248568701	7.99802882
47.048828	0.43826488	0.43106073	0.1411708	1.0032923	2.5652609	3.00352578	0.253032346	8.13404758
48.048828	0.43114892	0.43660346	0.14588407	1.019091	2.6114826	3.04263152	0.248923945	8.26559672
49.048828	0.45217299	0.44206306	0.15043247	1.0345585	2.6557982	3.10797119	0.261062197	8.41956759
50.048828	0.45256627	0.44745705	0.15494457	1.0498587	2.6992023	3.15176857	0.261289258	8.55017317
51.048828	0.46294853	0.45263636	0.15967397	1.0649467	2.7413015	3.20425003	0.267283458	8.68685303
52.048828	0.46381283	0.45782727	0.16395405	1.0796086	2.7889161	3.25272893	0.267782462	8.83056113
53.048828	0.46607801	0.46285665	0.16879891	1.0945122	2.8335481	3.29962611	0.269090265	8.96672231
54.048828	0.4781976	0.46802378	0.17310819	1.1091558	2.8789358	3.3571334	0.276087513	9.115005
55.048828	0.48269796	0.47309041	0.17721285	1.1233937	2.923799	3.40649696	0.278685797	9.25409496
