Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
52.673828	0.31243369	-0.001541943	0.024206856	0.04687177	1.2370099	1.54944359	0.180383675	4.02346339
53.673828	0.30815464	-0.001389279	0.024874665	0.048360053	1.2425935	1.55074814	0.177913164	4.03593514
54.673828	0.31216121	-0.001576534	0.025485622	0.049394712	1.2443174	1.55647861	0.180226359	4.04511341
55.673828	0.30987698	-0.001646529	0.026090821	0.050535113	1.2542137	1.56409068	0.178907558	4.07251808
56.673828	0.30743456	-0.001722472	0.026683133	0.0516438	1.2582378	1.56567236	0.177497426	4.08214796
57.673828	0.31524599	-0.001604952	0.027319035	0.053033117	1.2634726	1.57871859	0.182007357	4.10566379
58.673828	0.30938351	-0.001857634	0.027999137	0.054140639	1.2642072	1.57359071	0.178622653	4.10200511
59.673828	0.31277359	-0.001698638	0.028631926	0.055565212	1.2700732	1.58284679	0.180579916	4.12299319
60.673828	0.32412079	-0.001951033	0.029228197	0.05650536	1.2742407	1.59836149	0.187131225	4.14684289
61.673828	0.30934697	-0.00205564	0.02987688	0.057698123	1.2790867	1.58843367	0.178601556	4.14660707
62.673828	0.30123818	-0.001924725	0.030596418	0.05926811	1.2851815	1.58641968	0.173919944	4.15678268
63.673828	0.30392992	-0.002225377	0.031283464	0.060341548	1.2901777	1.59410762	0.175474021	4.17446302
64.673828	0.31203568	-0.001983821	0.03201903	0.062054239	1.2961948	1.60823048	0.180153884	4.20062008
65.673828	0.30079803	-0.00203216	0.032692101	0.063352041	1.3039742	1.60477223	0.173665824	4.21272063
66.673828	0.30225819	-0.002207014	0.033394638	0.064582258	1.3075521	1.60981029	0.174508847	4.22491449
67.673828	0.30166262	-0.002222012	0.034121603	0.066021197	1.3101673	1.61182992	0.174164995	4.23216452
68.673828	0.29451016	-0.002388158	0.034833383	0.067278609	1.3153123	1.60982246	0.17003552	4.24044706
69.673828	0.29676345	-0.002398362	0.035551235	0.068704113	1.3209933	1.61775675	0.171336458	4.25974335
70.673828	0.29418525	-0.00222968	0.036292419	0.070355155	1.3250556	1.61924085	0.169847933	4.26935205
71.673828	0.3031452	-0.002333529	0.037031636	0.071729742	1.3324707	1.6356159	0.175020963	4.3005573
72.673828	0.29505074	-0.002559426	0.037734799	0.072910175	1.3379745	1.63302524	0.170347624	4.30897424
73.673828	0.28886956	-0.002393772	0.038461614	0.074529454	1.3440897	1.63295926	0.166778918	4.32113866
74.673828	0.29047018	-0.002563749	0.039295826	0.0760279	1.3464552	1.63692538	0.167703037	4.32983578
75.673828	0.29859349	-0.002426273	0.039979775	0.077533282	1.3506973	1.64929079	0.172393032	4.35068539
76.673828	0.29527172	-0.002816042	0.040653277	0.078490518	1.3549709	1.65024262	0.170475207	4.36018442
77.673828	0.29300064	-0.002711204	0.041376069	0.080040932	1.3636881	1.65668874	0.169163998	4.38406494
78.673828	0.29642728	-0.002734055	0.042098466	0.081462875	1.3678808	1.66430808	0.17114237	4.40006968
79.673828	0.28093803	-0.002828253	0.042810086	0.082791917	1.3701057	1.65104373	0.162199647	4.39125513
80.673828	0.28837794	-0.003009582	0.043488443	0.083967306	1.37737	1.66574794	0.166495081	4.42048794
81.673828	0.28635669	-0.002935586	0.04428732	0.085639052	1.3811122	1.66746889	0.165328112	4.42969329
82.673828	0.28900161	-0.003034251	0.045039367	0.087044485	1.3867545	1.67575611	0.166855157	4.44926511
83.673828	0.29450735	-0.003165832	0.045753412	0.08834099	1.39302	1.68752735	0.170033898	4.47356735
84.673828	0.29484472	-0.00327089	0.046442032	0.089613169	1.3957101	1.69055482	0.170228678	4.48197502
85.673828	0.28189784	-0.003282343	0.047201764	0.091121189	1.4046611	1.68655894	0.162753794	4.49588114
86.673828	0.28333926	-0.003528058	0.047872208	0.092216358	1.4055188	1.68885806	0.163585998	4.49989566
87.673828	0.27937767	-0.003307468	0.048583116	0.093858764	1.4121003	1.69147797	0.161298773	4.51567857
88.673828	0.2815935	-0.003433675	0.049350366	0.09526705	1.4157174	1.6973109	0.162578083	4.5287457
89.673828	0.28268164	-0.003377361	0.05007799	0.096778616	1.420814	1.70349564	0.163206321	4.54512364
90.673828	0.27382863	-0.003437856	0.050747022	0.098056182	1.4267368	1.70056543	0.158095033	4.55403903
91.673828	0.28189877	-0.003628814	0.051607292	0.099585764	1.4316509	1.71354967	0.162754331	4.57685147
92.673828	0.27848619	-0.003739527	0.052262656	0.10078578	1.4384596	1.71694579	0.160784077	4.59386499
93.673828	0.28199995	-0.003654384	0.053054407	0.10245444	1.4417648	1.72376475	0.162812747	4.60729435
