Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
1.6689453	0.78072864	0.005474886	-0.000954086	0.003566714	1.0010077	1.78173634	0.45075389	3.78375174
2.6689453	0.77762085	0.005327554	-0.00102337	0.003280815	1.0006163	1.77823715	0.448959607	3.77946975
3.6689453	0.78184581	0.005387859	-0.000946392	0.003495074	1.0039177	1.78576351	0.451398889	3.79359891
4.6689453	0.78371257	0.005591177	-0.000792231	0.004006716	1.0036209	1.78733347	0.452476663	3.79457527
5.6689453	0.78337568	0.005164256	-0.000735032	0.003694193	1.0067605	1.79013618	0.45228216	3.80365718
6.6689453	0.77191812	0.005144787	-0.000487364	0.004170059	1.0130296	1.78494772	0.445667134	3.81100692
7.6689453	0.76138079	0.005100505	-0.000286512	0.004527481	1.0210052	1.78238599	0.439583404	3.82439639
8.6689453	0.76610339	0.004866371	1.31E-05	0.004892659	1.0273659	1.79346929	0.442309998	3.84820109
9.6689453	0.76331383	0.004681333	0.000351043	0.005383419	1.0303061	1.79361993	0.440699445	3.85423213
10.668945	0.75752503	0.004327569	0.000661665	0.005650899	1.0382937	1.79581873	0.43735728	3.87240613
11.668945	0.75825554	0.003790242	0.000974648	0.005739538	1.046312	1.80456754	0.43777904	3.89719154
12.668945	0.75073451	0.003692171	0.001296038	0.006284248	1.0508764	1.80161091	0.433436771	3.90336371
13.668945	0.75140911	0.003373632	0.001684537	0.006742706	1.0537046	1.80511371	0.433826252	3.91252291
14.668945	0.75062984	0.003235746	0.001985307	0.007206359	1.0628953	1.81352514	0.43337634	3.93931574
15.668945	0.7398659	0.002928845	0.002277991	0.007484826	1.0644702	1.8043361	0.427161777	3.9332765
16.668945	0.74084175	0.002901753	0.00259488	0.008091512	1.069909	1.81075075	0.427725184	3.95056875
17.668945	0.74640954	0.002640999	0.002980928	0.008602855	1.0769782	1.82338774	0.430939749	3.97734414
18.668945	0.73452491	0.002793514	0.003285124	0.009363761	1.078961	1.81348591	0.424078155	3.97140791
19.668945	0.7415908	0.00250553	0.003484094	0.009473718	1.081767	1.8233578	0.428157648	3.9868918
20.668945	0.74040389	0.002419957	0.003806683	0.010033322	1.0867839	1.82718779	0.427472385	4.00075559
21.668945	0.73091578	0.002444938	0.003988995	0.010422927	1.0885632	1.81947898	0.421994422	3.99660538
22.668945	0.73278189	0.002357378	0.004439085	0.011235547	1.0950805	1.82786239	0.423071821	4.01802339
23.668945	0.74044615	0.00234426	0.004803896	0.011952053	1.1003593	1.84080545	0.427496784	4.04152405
