Time	epsa	epsc	epsv	sigc	siga	siga*	SqJ2	I1
54.255859	0.009195056	0.012429366	0.034053788	1.2694846	0.906068032	2.175552632	0.523118622	4.714521832
55.255859	0.009394292	0.013318176	0.036030643	1.2778192	0.928048088	2.205867288	0.535808813	4.761505688
56.255859	0.009838757	0.013724278	0.037287313	1.2830617	0.920458202	2.203519902	0.531426791	4.769643302
57.255859	0.010110289	0.014127647	0.038365584	1.2853377	0.933472464	2.218810164	0.538940578	4.789485564
58.255859	0.010077639	0.014269427	0.038616493	1.2879106	0.908338516	2.196249116	0.524429487	4.772070316
59.255859	0.01038641	0.014587699	0.039561804	1.2890996	0.937557482	2.226657082	0.541299065	4.804856282
60.255859	0.010674743	0.014788438	0.04025162	1.2925389	0.921570855	2.214109755	0.532069181	4.799187555
61.255859	0.010935456	0.015021239	0.040977933	1.293384	0.910170827	2.203554827	0.525487372	4.790322827
62.255859	0.011146417	0.015231416	0.04160925	1.2977308	0.938723514	2.236454314	0.541972274	4.831915914
63.255859	0.011254922	0.015331148	0.04191722	1.302429	0.913178629	2.215607629	0.527223927	4.820465629
64.255859	0.011401824	0.015541489	0.042484801	1.3043215	0.928267876	2.232589376	0.535935708	4.841232376
65.255859	0.011352113	0.015962707	0.043277528	1.3047094	0.924669799	2.229379199	0.533858357	4.838797999
66.255859	0.011625201	0.016048972	0.043723144	1.3096557	0.928030311	2.237686011	0.53579855	4.856997411
67.255859	0.011805956	0.016388463	0.044582885	1.3135815	0.909055869	2.222637369	0.524843651	4.849800369
68.255859	0.011757469	0.016524695	0.04480686	1.318557	0.930813856	2.249370856	0.53740563	4.886484856
69.255859	0.011816406	0.017041571	0.045899548	1.3271086	0.911667872	2.238776472	0.526351691	4.892993672
70.255859	0.011948596	0.017615831	0.047180258	1.3348836	0.928294565	2.263178165	0.535951117	4.932945365
71.255859	0.012209105	0.018296709	0.048802525	1.3432984	0.886039164	2.229337564	0.51155495	4.915934364
72.255859	0.01237396	0.01915884	0.050691642	1.3517485	0.916624128	2.268372628	0.529213187	4.971869628
73.255859	0.01233982	0.02003355	0.052406918	1.3603346	0.903682614	2.264017214	0.5217414	4.984686414
