Time	epsa	epsc	epsv	sigc	siga	siga*	SqJ2	I1
2.5302734	9.60E-05	0.00054162	0.001179201	1.002703	0.909979036	1.912682036	0.525376641	3.918088036
3.5302734	0.000377368	0.00014677	0.000670908	0.99887687	0.917556373	1.916433243	0.529751419	3.914186983
4.5302734	0.000195425	0.000189932	0.000575289	0.99857372	0.911016089	1.909589809	0.525975384	3.906737249
5.5302734	0.000154606	0.000394395	0.000943396	1.0044173	0.915073563	1.919490863	0.528317968	3.928325463
6.5302734	0.000173993	0.00051298	0.001199953	1.0128107	0.895741087	1.908551787	0.517156358	3.934173187
7.5302734	0.000390174	0.00073065	0.001851473	1.0206006	0.904914097	1.925514697	0.522452397	3.966715897
8.5302734	0.000450171	0.000998313	0.002446798	1.0265917	0.925844552	1.952436252	0.534536601	4.005619652
9.5302734	0.000231634	0.001336835	0.002905304	1.0384818	0.901415267	1.939897067	0.520432347	4.016860667
10.530273	0.000464887	0.001630636	0.003726159	1.0499626	0.899871784	1.949834384	0.519541217	4.049759584
11.530273	0.000605171	0.001985811	0.004576793	1.0555204	0.914575784	1.970096184	0.528030575	4.081136984
12.530273	0.000463556	0.002353346	0.005170248	1.0649321	0.90729854	1.97223064	0.523829056	4.10209484
13.530273	0.000788262	0.002633959	0.006056179	1.073301	0.886409034	1.959710034	0.511768494	4.106312034
14.530273	0.000730416	0.002974102	0.006678619	1.0794169	0.86672879	1.94614569	0.5004061	4.10497949
15.530273	0.001131761	0.00304528	0.007222321	1.0744792	0.886499915	1.960979115	0.511820965	4.109937515
16.530273	0.001492165	0.002830374	0.007152912	1.0736853	0.905602765	1.979288065	0.52285	4.126658665
17.530273	0.001624888	0.002934469	0.007493825	1.0730368	0.898560328	1.971597128	0.518784047	4.117670728
18.530273	0.00179298	0.003040584	0.007874149	1.0731324	0.901244793	1.974377193	0.520333924	4.120641993
19.530273	0.002230146	0.003019329	0.008268804	1.076743	0.89141943	1.96816243	0.514661248	4.12164843
20.530273	0.002240473	0.003156147	0.008552766	1.0800523	0.898808089	1.978860389	0.518927092	4.138964989
21.530273	0.002674893	0.003215409	0.009105711	1.0903745	0.902554609	1.992929109	0.521090146	4.173678109
22.530273	0.002534916	0.003636869	0.009808654	1.0964609	0.916978978	2.013439878	0.52941806	4.206361678
23.530273	0.002774111	0.003891267	0.010556646	1.1096394	0.89612524	2.00576464	0.517378149	4.22504344
