Time	siga	epsc	epsa	epsv	sigc	siga*	SqJ2	I1
1.0615234	1.242959804	0.000338474	3.64E-07	0.00067731	0.5004971	1.743456904	0.717623177	2.744451104
2.0615234	1.216722198	0.000368214	-0.000207253	0.000529176	0.49946654	1.716188738	0.702474889	2.715121818
3.0615234	1.215686423	0.000507297	-6.54E-05	0.000949236	0.53073668	1.746423103	0.701876884	2.807896463
4.0615234	1.221368092	0.000898875	-9.98E-05	0.001697944	0.56387758	1.785245672	0.705157197	2.913000832
5.0615234	1.218967188	0.001644342	-0.000262749	0.003025916	0.60082215	1.819789338	0.703771034	3.021433638
6.0615234	1.212541574	0.002643409	-0.000447952	0.00483882	0.6365431	1.849084674	0.700061204	3.122170874
7.0615234	1.169429154	0.004184072	-0.000821041	0.007546996	0.67993045	1.849359604	0.675170237	3.209220504
8.0615234	1.215849174	0.006253513	-0.001664997	0.010841847	0.72053105	1.936380224	0.701970848	3.377442324
9.0615234	1.1794499	0.00905805	-0.002301445	0.015814251	0.7671687	1.9466186	0.680955717	3.480956
10.061523	1.179956332	0.012397732	-0.003197065	0.021597655	0.81444907	1.994405402	0.681248106	3.623303542
11.061523	1.132273915	0.017618754	-0.004299878	0.030936041	0.8637535	1.996027415	0.65371865	3.723534415
12.061523	1.113949269	0.025522831	-0.005702868	0.04533919	0.91291332	2.026862589	0.64313891	3.852689229
13.061523	1.100023475	0.035902406	-0.007336003	0.064461186	0.96330136	2.063324835	0.635098849	3.989927555
14.061523	1.063190745	0.048533254	-0.009008174	0.08804352	1.0183607	2.081551445	0.613833463	4.118272845
15.061523	1.017265684	0.063213403	-0.010980058	0.115420666	1.0782698	2.095535484	0.587318616	4.252075084
16.061523	1.024112073	0.080071419	-0.013185095	0.146914735	1.1347873	2.158899373	0.591271381	4.428473973
17.061523	0.969738795	0.098426816	-0.015393819	0.181393224	1.1920432	2.161781995	0.559878954	4.545868395
18.061523	0.943372435	0.118072183	-0.017349065	0.218696835	1.2481867	2.191559135	0.544656329	4.687932535
19.061523	0.898926612	0.139009617	-0.019107917	0.258771166	1.3027486	2.201675212	0.518995521	4.807172412
20.061523	0.897543703	0.160062172	-0.020578713	0.299355257	1.3604661	2.258009803	0.518197099	4.978942003
21.061523	0.885537976	0.180977969	-0.02188818	0.339819381	1.4120386	2.297576576	0.511265589	5.121653776
22.061523	0.86994903	0.201041477	-0.022675453	0.379094406	1.464332	2.33428103	0.502265307	5.26294503
23.061523	0.835547359	0.219732858	-0.023093074	0.415991191	1.510969	2.346516359	0.482403493	5.368454359
24.061523	0.852491383	0.237040177	-0.022688333	0.450937575	1.5572977	2.409789083	0.492186129	5.524384483
25.061523	0.843044502	0.252581678	-0.021862214	0.482773468	1.5999171	2.442961602	0.48673197	5.642795802
26.061523	0.841108646	0.266065629	-0.020500577	0.511031717	1.6433264	2.484435046	0.485614303	5.771087846
27.061523	0.859162379	0.278463176	-0.01897346	0.537282996	1.6829485	2.542110879	0.496037631	5.908007879
28.061523	0.868450778	0.289259062	-0.017158526	0.560622012	1.7199191	2.588369878	0.50140029	6.028208078
29.061523	0.882540219	0.299392678	-0.01477035	0.583206957	1.7596233	2.642163519	0.509534833	6.161410119
30.061523	0.903845154	0.308824466	-0.012095016	0.604674779	1.7978264	2.701671554	0.521835243	6.297324354
31.061523	0.913454479	0.317523476	-0.009356402	0.624741661	1.8363504	2.749804879	0.527383189	6.422505679
32.061523	0.930367673	0.326119549	-0.006253186	0.644963092	1.8765781	2.806945773	0.537148026	6.560101973
33.061523	0.945042687	0.334432317	-0.002981297	0.664784795	1.9234791	2.868521787	0.54562065	6.715479987
34.061523	0.957956724	0.342522364	0.000159145	0.684029569	1.9648664	2.922823124	0.553076572	6.852555924
35.061523	0.977834334	0.350732538	0.003700503	0.703909535	2.0075479	2.985382234	0.564552916	7.000478034
36.061523	0.989661368	0.358782871	0.007098517	0.723326163	2.0505128	3.040174168	0.571381257	7.141199768
37.061523	1.01858727	0.366908408	0.010888982	0.743279823	2.0975122	3.11609947	0.588081635	7.31112387
38.061523	1.02571221	0.375126488	0.014531511	0.76326847	2.1431594	3.16887161	0.592195221	7.45519041
39.061523	1.030861092	0.383036003	0.018234237	0.782699658	2.190743	3.221604092	0.595167929	7.603090092
40.061523	1.05245596	0.390893894	0.021993111	0.802081315	2.2277	3.28015596	0.607635732	7.73555596
41.061523	1.04493089	0.398678716	0.025926787	0.821488455	2.2710817	3.31601259	0.603291131	7.85817599
42.061523	1.10330956	0.406115927	0.029758252	0.84009959	2.3189762	3.42228576	0.636996071	8.06023816
