Time	epsa	epsc	epsv	sigc	siga	siga*	SqJ2	I1
2.4140625	-3.53E-05	0.000209193	0.000383078	1.0052181	0.902200186	1.907418286	0.52088552	3.917854486
3.4140625	-0.000100904	0.000143327	0.000185751	1.0066981	0.882616408	1.889314508	0.509578821	3.902710708
4.4140625	-0.000126105	0.000257482	0.000388859	1.0119313	0.87951958	1.89145088	0.507790866	3.91531348
5.4140625	-0.000292948	0.000306876	0.000320804	1.0121847	0.892362298	1.904546998	0.515205613	3.928916398
6.4140625	-0.000182645	0.000536668	0.000890691	1.0169379	0.881416439	1.898354339	0.508886018	3.932230139
7.4140625	-0.000459586	0.00054038	0.000621174	1.0209638	0.86616613	1.88712993	0.500081248	3.92905753
8.4140625	-0.00011498	0.000807793	0.001500606	1.0232	0.859596019	1.882796019	0.496287993	3.929196019
9.4140625	-0.000322478	0.001226885	0.002131291	1.0414733	0.87938813	1.92086143	0.507714974	4.00380803
10.414063	-0.000331411	0.00154444	0.002757468	1.0499014	0.861822156	1.911723556	0.497573254	4.011526356
11.414063	-0.000477903	0.002100155	0.003722407	1.0581415	0.834341174	1.892482674	0.481707101	4.008765674
12.414063	-0.000606856	0.002639371	0.004671887	1.0688207	0.854747208	1.923567908	0.493488531	4.061209308
13.414063	-0.000665337	0.003290845	0.005916353	1.0749136	0.837033909	1.911947509	0.483261753	4.061774709
14.414063	-0.000767675	0.003935557	0.007103438	1.0819855	0.841621746	1.923607246	0.485910542	4.087578246
15.414063	-0.000633661	0.004275594	0.007917527	1.0795813	0.846488072	1.926069372	0.488720116	4.085231972
16.414063	-0.000631628	0.004313842	0.007996056	1.0830455	0.874188414	1.957233914	0.504712916	4.123324914
17.414063	-0.00048362	0.004715922	0.008948225	1.0839289	0.842147996	1.926076896	0.486214372	4.093934696
18.414063	-0.000309032	0.004841296	0.009373561	1.0865366	0.846597704	1.933134304	0.488783412	4.106207504
19.414063	6.98E-05	0.005154917	0.010379645	1.0891876	0.851621979	1.940809579	0.491684179	4.119184779
20.414063	0.000413004	0.005128809	0.010670621	1.090793	0.840525396	1.931318396	0.485277564	4.112904396
21.414063	0.000447738	0.00523429	0.010916319	1.0966054	0.840917915	1.937523315	0.485504185	4.130734115
22.414063	0.000751975	0.005415737	0.011583449	1.0955216	0.852545074	1.948066674	0.492217128	4.139109874
23.414063	0.001035391	0.005675297	0.012385985	1.0957383	0.876341733	1.972080033	0.505956135	4.163556633
24.414063	0.001325962	0.005813815	0.012953591	1.1000065	0.864289115	1.964295615	0.498997553	4.164308615
25.414063	0.001741896	0.006090673	0.013923242	1.1041781	0.859639297	1.963817397	0.49631298	4.172173597
26.414063	0.001841073	0.006599405	0.015039884	1.1167222	0.851282078	1.968004278	0.491487937	4.201448678
27.414063	0.001984062	0.007550591	0.017085243	1.1286864	0.865749512	1.994435912	0.499840714	4.251808712
28.414063	0.001943032	0.008476472	0.018895976	1.1382928	0.850407133	1.988699933	0.490982787	4.265285533
29.414063	0.002240411	0.009572222	0.021384854	1.1482061	0.873456041	2.021662141	0.50429008	4.318074341
30.414063	0.002684379	0.010757479	0.024199337	1.1602873	0.870822008	2.031109308	0.502769321	4.351683908
31.414063	0.003094576	0.011661971	0.026418518	1.1629046	0.901029188	2.063933788	0.520209444	4.389742988
32.414063	0.00316263	0.012501706	0.028166041	1.1666753	0.891728031	2.058403331	0.514839419	4.391753931
33.414063	0.003904377	0.012813762	0.029531902	1.170262	0.872749953	2.043011953	0.50388242	4.383535953
34.414063	0.004179064	0.013287849	0.03075476	1.1698623	0.898581504	2.068443804	0.518796273	4.408168404
35.414063	0.004465886	0.01371856	0.031903006	1.1725173	0.891497762	2.064015062	0.514706473	4.409049662
36.414063	0.00491934	0.014111488	0.033142317	1.177194	0.875030491	2.052224491	0.50519909	4.406612491
37.414063	0.005193822	0.014328409	0.03385064	1.1773385	0.891109545	2.068448045	0.514482336	4.423125045
38.414063	0.005244538	0.014747235	0.034739006	1.1822304	0.889657989	2.071888389	0.513644279	4.436349189
39.414063	0.005534535	0.015052079	0.035638694	1.1815782	0.890127225	2.071705425	0.513915193	4.434861825
40.414063	0.005684065	0.015353968	0.036392003	1.1843219	0.901818552	2.086140452	0.520665184	4.454784252
41.414063	0.00576158	0.015659433	0.037080444	1.1894356	0.901108162	2.090543762	0.52025504	4.469414962
42.414063	0.006037374	0.01600627	0.038049914	1.191941	0.891798141	2.083739141	0.514879897	4.467621141
43.414063	0.006318888	0.016350467	0.039019819	1.1964896	0.896395317	2.092884917	0.517534078	4.485864117
44.414063	0.005964745	0.01706318	0.040091105	1.2077807	0.878739057	2.086519757	0.507340231	4.502081157
45.414063	0.005995576	0.018052831	0.042101238	1.218311	0.894410286	2.112721286	0.516388019	4.549343286
46.414063	0.00636063	0.019389592	0.045139816	1.2274518	0.871535107	2.098986907	0.503181029	4.553890507
47.414063	0.006295936	0.020748844	0.047793623	1.2372507	0.900178389	2.137429089	0.519718235	4.611930489
48.414063	0.006534373	0.021951694	0.05043776	1.2467886	0.860525721	2.107314321	0.496824757	4.600891521
49.414063	0.006730069	0.023035778	0.052801624	1.2548379	0.879999938	2.134837838	0.508068201	4.644513638
50.414063	0.007000781	0.02410532	0.055211421	1.2607793	0.871526408	2.132305708	0.503176006	4.653864308
51.414063	0.007013546	0.024828615	0.056670774	1.2580402	0.893634088	2.151674288	0.515939881	4.667754688
52.414063	0.00748143	0.025291033	0.0580635	1.2613847	0.860497249	2.121881949	0.496808318	4.644651349
53.414063	0.007899085	0.025636474	0.059172034	1.2630844	0.873199511	2.136283911	0.504141973	4.662452711
54.414063	0.008190967	0.026109649	0.060410261	1.2669139	0.906923988	2.173837888	0.523612809	4.707665688
55.414063	0.008634316	0.026464019	0.061562356	1.2692814	0.876315447	2.145596847	0.505940959	4.684159647
56.414063	0.008800482	0.026961412	0.062723309	1.2700276	0.899055208	2.169082808	0.519069766	4.709138008
57.414063	0.009171319	0.027210018	0.063591361	1.2724465	0.876297884	2.148744384	0.505930819	4.693637384
58.414063	0.009292522	0.027504113	0.064300746	1.2782526	0.895612513	2.173865113	0.517082125	4.730370313
59.414063	0.009713133	0.027854746	0.065422632	1.2791921	0.878473733	2.157665833	0.507187046	4.716050033
60.414063	0.009902964	0.028331697	0.066566356	1.2795081	0.901088389	2.180596489	0.520243624	4.739612689
61.414063	0.010205584	0.028679796	0.06756518	1.288662	0.90082972	2.18949172	0.520094281	4.76681572
62.414063	0.010274596	0.02924264	0.068759881	1.2967979	0.874741093	2.171538993	0.505032006	4.765134793
63.414063	0.010458532	0.030045299	0.07054913	1.3054149	0.907059929	2.212474829	0.523691294	4.823304629
64.414063	0.010366833	0.031191327	0.072749481	1.3147188	0.891092053	2.205810853	0.514472237	4.835248453
65.414063	0.010399743	0.032316942	0.075033627	1.3221636	0.890605254	2.212768854	0.514191183	4.857096054
66.414063	0.010450152	0.033518519	0.077487186	1.3348398	0.89046715	2.22530695	0.514111449	4.89498655
67.414063	0.010209128	0.034648478	0.079506084	1.3390958	0.884274134	2.223369934	0.510535909	4.901561534
68.414063	0.010432136	0.03593149	0.082295112	1.348441	0.88668838	2.23512938	0.511929775	4.93201138
69.414063	0.010771497	0.036944732	0.084660962	1.3561153	0.899004776	2.255120076	0.519040649	4.967350676
70.414063	0.010661353	0.037918512	0.08649838	1.3602179	0.869942761	2.230160661	0.502261687	4.950596461
71.414063	0.010830819	0.038572617	0.087976046	1.3580515	0.889353142	2.247404642	0.513468276	4.963507642
72.414063	0.011387533	0.039100826	0.089589179	1.3610141	0.876653733	2.237667833	0.506136269	4.959696033
73.414063	0.011664719	0.039450657	0.090566032	1.3608737	0.904919777	2.265793477	0.522455677	4.987540877
74.414063	0.011640374	0.039825782	0.091291934	1.3617622	0.905676297	2.267438497	0.522892454	4.990962897
75.414063	0.012076863	0.040372867	0.092822596	1.3648366	0.902853656	2.267690256	0.521262801	4.997363456
76.414063	0.012467615	0.040588029	0.093643673	1.3649522	0.8868748	2.251827	0.512037405	4.9817314
